id,name,slot,tier,itemlevel,armor_type,classes,weapon_min_dmg,weapon_max_dmg,delay,damage_rating,gamelink,aeautoattackchance,agility,all,arcane,armormitigationincrease,attackspeed,basemodifier,blockchance,combatskills,critbonus,critchance,damage,doubleattackchance,dps,flurry,intelligence,maxhpperc,spelltimecastpct,spelltimereusepct,stamina,strength,wisdom
1151705482,Censer of Serilis' Infidel,Secondary|Ranged,TREASURED,20,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM 1151705482 2146733102:Censer of Serilis' Infidel\/a,,,,,,,,,4,,,,,,,,,,,10,10,
3435230590,Scepter of Flames,Primary|Secondary,TREASURED,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,4,24,4,7.2,\aITEM -859736706 1247733606:Scepter of Flames\/a,,,,,,,,,1,,,,,,,,,,,5,5,
2270043523,Hunter's Shortbow,Ranged,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,12,69,9,9,\aITEM -2024923773 87570512:Hunter's Shortbow\/a,,,,,,,,,1,,,,,,,,,,,5,5,
1223329325,Claws of the Ancient Monk,Primary,LEGENDARY,10,,beastlord|bruiser|monk,4,25,4,7.253334,\aITEM 1223329325 150322091:Claws of the Ancient Monk\/a,,,,,,,,,,,,,,,,,,,,5,5,
263708751,Empowered Totem,Secondary|Ranged,TREASURED,10,,coercer|conjuror|illusionist|necromancer|warlock|wizard,0,0,0,0,\aITEM 263708751 37627324:Empowered Totem\/a,,,,,,,,,1,,,,,,,,,,,5,5,
2285423047,Tempered Blade,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,6,37,6,7.2,\aITEM -2009544249 1689954927:Tempered Blade\/a,,,,,,,,,1,,,,,,,,,,,5,5,
320088336,Vanguard's Shortbow,Ranged,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,12,69,9,9,\aITEM 320088336 1729543971:Vanguard's Shortbow\/a,,,,,,,,,,,,,,,,,,,,5,5,
2740048272,Tempered Tower Shield,Secondary,TREASURED,10,,berserker|guardian|paladin|shadowknight,0,0,0,0,\aITEM -1554919024 2105066055:Tempered Tower Shield\/a,,,,,,,,,1,,,,,,,,,,,5,5,
3067656710,Tempered Cestus,Primary|Secondary,TREASURED,10,,beastlord|bruiser|monk,5,31,5,7.2,\aITEM -1227310586 2128443652:Tempered Cestus\/a,,,,,,,,,,,,,,,,,,,,5,5,
4076588837,Brawler's Belt of Shurikens,Ranged,TREASURED,10,,beastlord|bruiser|monk,12,69,9,9,\aITEM -218378459 2110476507:Brawler's Belt of Shurikens\/a,,,,,,,,,1,,,,,,,,,,,5,5,
2620071213,Tempered Knuckles,Primary|Secondary,TREASURED,10,,beastlord|bruiser|monk,4,24,4,7.2,\aITEM -1674896083 -285938172:Tempered Knuckles\/a,,,,,,,,,,,,,,,,,,,,5,5,
2341402579,Worn Holy Symbol,Secondary|Ranged,TREASURED,10,,channeler|defiler|fury|inquisitor|mystic|templar|warden,0,0,0,0,\aITEM -1953564717 121867415:Worn Holy Symbol\/a,,,,,,,,,1,,,,,,,,,,,5,5,
2235814089,Brawler's Bandoleer,Ranged,TREASURED,10,,beastlord|bruiser|monk,12,69,9,9,\aITEM -2059153207 -1312495052:Brawler's Bandoleer\/a,,,,,,,,,,,,,,,,,,,,5,5,
4051762470,Thug's Knifebelt,Ranged,TREASURED,10,,assassin|beastlord|berserker|brigand|bruiser|dirge|guardian|monk|ranger|swashbuckler|troubador,12,69,9,9,\aITEM -243204826 -1845024636:Thug's Knifebelt\/a,,,,,,,,,1,,,,,,,,,,,5,5,
2596565735,Fleshcutter,Primary|Secondary,FABLED,10,,assassin|beastlord|berserker|brigand|coercer|conjuror|dirge|guardian|illusionist|necromancer|ranger|swashbuckler|troubador|warlock|wizard,3,8,1.3,8.106667,\aITEM -1698401561 1129989029:Fleshcutter\/a,,,,,,,,,2,,,,,,,,,,,5,5,
3098446507,Spined Dragon Claws,Primary|Secondary,LEGENDARY,70,,beastlord|bruiser|monk,65,194,4,64.554672,\aITEM -1196520789 -2054976634:Spined Dragon Claws\/a,,,,,,4.1,2.6,,15,0.6,1.8,,,8.2,,,,,,39,39,
2317829998,Warped Metal Shield,Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|defiler|dirge|fury|guardian|inquisitor|mystic|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden,0,0,0,0,\aITEM -1977137298 -625766594:Warped Metal Shield\/a,,,,,,,,,1,,,,,,,,,,,4,4,
1513269449,"Firesoul, the Torment Bringer",Ranged,FABLED,60,,channeler|coercer|conjuror|defiler|fury|illusionist|inquisitor|mystic|necromancer|templar|warden|warlock|wizard,90,510,8,74.986671,"\aITEM 1513269449 1241557169:Firesoul, the Torment Bringer\/a",,,52,,,,2.4,,14,0.5,1.6,,,,,,,,,37,37,
1521697390,Divine Mace of Holy Decimation,Primary|Secondary,LEGENDARY,30,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,14,79,4,23.21067,\aITEM 1521697390 1801682763:Divine Mace of Holy Decimation\/a,,,,,,,,,4,,,,,,,,,,,11,11,
1541476479,Bulwark of the Dwarven Healer,Secondary|Ranged,TREASURED,30,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM 1541476479 737007009:Bulwark of the Dwarven Healer\/a,,,,,,,,,4,,,,,,,,,,,11,11,
697464860,Defender's Runic Longbow,Ranged,FABLED,60,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,101,574,9,74.986671,\aITEM 697464860 -1648981456:Defender's Runic Longbow\/a,,,,,,,2.4,,14,0.5,1.6,,,,,,,1.4,,37,37,
3820091334,Invoker's Sword,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,6,37,6,7.2,\aITEM -474875962 -1111255999:Invoker's Sword\/a,,,,,,,,,1,,,,,,,,,,,4,4,
2682026158,Runic Longsword,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,6,37,6,7.2,\aITEM -1612941138 78150977:Runic Longsword\/a,,,,,,,,,,,,,,,,,,,,4,4,
3948805060,Walloper's Brutal Knuckles,Primary|Secondary,TREASURED,10,,beastlord|bruiser|monk,6,37,6,7.2,\aITEM -346162236 1776580673:Walloper's Brutal Knuckles\/a,,,,,,,,,,,,,,,,,,,,4,4,
2248726048,Runic Scythe,Primary,TREASURED,10,,beastlord|berserker|channeler|defiler|guardian|mystic|paladin|shadowknight,10,56,7,9.45,\aITEM -2046241248 -191647124:Runic Scythe\/a,,,,,,,,,,,,,,,,,,,,8,8,
135628052,Idol of Reflection,Secondary|Ranged,TREASURED,10,,coercer|conjuror|illusionist|necromancer|warlock|wizard,0,0,0,0,\aITEM 135628052 1407938012:Idol of Reflection\/a,,,,,,,,,1,,,,,,,,,,,4,4,
737019920,Staff of Dark Thaumaturgy,Primary,LEGENDARY,20,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,20,113,7,19.039999,\aITEM 737019920 -1324998705:Staff of Dark Thaumaturgy\/a,,,,,,,,,6,,,,,,,,,,,18,18,
732582376,Worn Star Pouch,Ranged,TREASURED,10,,assassin|beastlord|berserker|brigand|bruiser|dirge|guardian|monk|ranger|swashbuckler|troubador,12,69,9,9,\aITEM 732582376 -519484087:Worn Star Pouch\/a,,,,,,,,,,,,,,,,,,,,4,4,
1693664200,Skymage's Sacrifice Dagger,Primary|Secondary,LEGENDARY,67,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,37,208,4,61.290665,\aITEM 1693664200 -745224315:Skymage's Sacrifice Dagger\/a,,,,,,3.5,2.4,,14,0.5,1.6,,,,,,,,,37,37,
3442782613,Timorous Blocker,Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|defiler|dirge|fury|guardian|inquisitor|mystic|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden,0,0,0,0,\aITEM -852184683 2129757408:Timorous Blocker\/a,,,,,,,,,1,,,,,,,,,,,4,4,
728677661,Ratonga Boned Great Spear,Primary,LEGENDARY,10,,beastlord|berserker|channeler|defiler|guardian|mystic|paladin|shadowknight,10,57,7,9.52,\aITEM 728677661 -191736835:Ratonga Boned Great Spear\/a,,,,,,,,,,,,,,,,,,,,10,10,
2257103461,Buckler of the Valiant Curate,Secondary,TREASURED,10,,berserker|channeler|defiler|fury|guardian|inquisitor|mystic|paladin|shadowknight|templar|warden,0,0,0,0,\aITEM -2037863835 -220148803:Buckler of the Valiant Curate\/a,,,,,,,,,1,,,,,,,,,,,4,4,
3776032085,Tower Shield of Ancient Formations,Secondary,TREASURED,10,,berserker|guardian|paladin|shadowknight,0,0,0,0,\aITEM -518935211 -2101995004:Tower Shield of Ancient Formations\/a,,,,,,,,,,,,,,,,,,,,4,4,
3059582739,Tablet of the Ether Surge,Secondary|Ranged,LEGENDARY,10,,coercer|conjuror|illusionist|necromancer|warlock|wizard,0,0,0,0,\aITEM -1235384557 -2118840630:Tablet of the Ether Surge\/a,,,,,,,,,1,,,,,,,,,,,5,5,
518123362,Apprentice's Ornate Flail,Primary|Secondary,TREASURED,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,4,24,4,7.2,\aITEM 518123362 -431121682:Apprentice's Ornate Flail\/a,,,,,,,,,1,,,,,,,,,,,4,4,
4272670979,Great Mace of the Trainee,Primary,TREASURED,10,,channeler|defiler|fury|inquisitor|mystic|templar|warden,9,48,6,9.45,\aITEM -22296317 1980672328:Great Mace of the Trainee\/a,,,,,,,,,2,,,,,,,,,,,8,8,
2683153929,Stave of the Ruthless Grandmaster,Primary,LEGENDARY,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,10,57,7,9.52,\aITEM -1611813367 -997493153:Stave of the Ruthless Grandmaster\/a,,,,,,,,,,,,,,,,,,,,10,10,
1813618489,Carotid Slicer,Primary|Secondary,LEGENDARY,30,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,14,79,4,23.21067,\aITEM 1813618489 591138187:Carotid Slicer\/a,,,,,,,,,4,,,,,,,,,,,11,11,
710563725,Bloody Cestus,Primary|Secondary,TREASURED,30,,beastlord|bruiser|monk,17,98,5,23.040001,\aITEM 710563725 -137953108:Bloody Cestus\/a,,,,,,,,,4,,,,,,,,,,,10,10,
755454498,Bixie Slasher,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,6,37,6,7.2,\aITEM 755454498 1319536987:Bixie Slasher\/a,,,,,,,,,1,,,,,,,,,,,4,4,
3635163296,Hollowed Runic Scourge,Primary|Secondary,LEGENDARY,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,4,25,4,7.253334,\aITEM -659804000 -1845170509:Hollowed Runic Scourge\/a,,,,,,,,,1,,,,,,,,,,,5,5,
590786391,Timorous Foil,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,4,24,4,7.2,\aITEM 590786391 530167299:Timorous Foil\/a,,,,,,,,,1,,,,,,,,,,,4,4,
2943042989,Tempered Mace,Primary|Secondary,TREASURED,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,4,24,4,7.2,\aITEM -1351924307 -997687699:Tempered Mace\/a,,,,,,,,,1,,,,,,,,,,,5,5,
2381728961,Tempered Sword,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,6,37,6,7.2,\aITEM -1913238335 -551326584:Tempered Sword\/a,,,,,,,,,,,,,,,,,,,,5,5,
4170046254,Scout's Shortbow,Ranged,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,12,69,9,9,\aITEM -124921042 1361759484:Scout's Shortbow\/a,,,,,,,,,1,,,,,,,,,,,5,5,
216715147,Cutlass of the Siren's Song,Primary|Secondary,LEGENDARY,10,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,7,37,6,7.253334,\aITEM 216715147 1940378649:Cutlass of the Siren's Song\/a,,,,,,,,,1,,,,,,,,,,,5,5,
3493745776,Ornate Summoning Dagger,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,4,24,4,7.2,\aITEM -801221520 1379389153:Ornate Summoning Dagger\/a,,,,,,,,,1,,,,,,,,,,,4,4,
3993431543,Magical Erudite Dagger,Primary|Secondary,LEGENDARY,10,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,4,25,4,7.253334,\aITEM -301535753 -290976471:Magical Erudite Dagger\/a,,,,,,,,,1,,,,,,,,,,,5,5,
362574336,Recruit Priest's Flail,Primary|Secondary,TREASURED,10,,channeler|defiler|fury|inquisitor|mystic|templar|warden,4,24,4,7.2,\aITEM 362574336 732504989:Recruit Priest's Flail\/a,,,,,,,,,1,,,,,,,,,,,4,4,
876325794,Crushbone Gouger,Primary|Secondary,TREASURED,10,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,4,24,4,7.2,\aITEM 876325794 -1476382773:Crushbone Gouger\/a,,,,,,,,,1,,,,,,,,,,,5,5,
610218478,Tempered Stave,Primary|Secondary,TREASURED,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,4,24,4,7.2,\aITEM 610218478 -731702274:Tempered Stave\/a,,,,,,,,,1,,,,,,,,,,,5,5,
693698132,Blessed Iron Knuckles,Primary|Secondary,HANDCRAFTED,10,,beastlord|bruiser|monk,5,30,5,7.146667,\aITEM 693698132 2145496548:Blessed Iron Knuckles\/a,,,,,,,,,,,,,,,,,,,,2,3,
2976215781,Damaged Heartpiercer,Ranged,LEGENDARY,10,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,12,69,9,9.066667,\aITEM -1318751515 614297577:Damaged Heartpiercer\/a,,,,,,,,,,,,,,,,,,,,5,5,
825445272,Kobold Killing Kris,Primary|Secondary,TREASURED,30,,assassin|beastlord|berserker|brigand|channeler|coercer|conjuror|defiler|dirge|guardian|illusionist|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|troubador|warlock|wizard,14,78,4,23.040001,\aITEM 825445272 1604355505:Kobold Killing Kris\/a,,,,,,,,,4,,,,,,,,,,,10,10,
2064168825,Discarded Mistmoore Mace,Primary,TREASURED,69,,channeler|defiler|fury|inquisitor|mystic|templar|warden,87,492,7,82.687492,\aITEM 2064168825 1887620118:Discarded Mistmoore Mace\/a,,,104,,,,4.8,,28,1,3.2,,,,,,,,,74,74,
4073758299,Merciful Focus,Ranged,TREASURED,20,,channeler|coercer|conjuror|defiler|fury|illusionist|inquisitor|mystic|necromancer|templar|warden|warlock|wizard,22,122,8,18.000002,\aITEM -221208997 37650106:Merciful Focus\/a,,,,,,,,,3,,,,,,,,,,,7,7,
396532292,Orc Weapon Pouch,Ranged,TREASURED,20,,assassin|beastlord|berserker|brigand|bruiser|dirge|guardian|monk|ranger|swashbuckler|troubador,13,38,2.8,18,\aITEM 396532292 672487808:Orc Weapon Pouch\/a,,,,,,,,,3,,,,,,,,,,,8,8,
996371423,Damaged Channeling Stick,Ranged,TREASURED,10,,channeler|coercer|conjuror|defiler|fury|illusionist|inquisitor|mystic|necromancer|templar|warden|warlock|wizard,11,61,8,9.000001,\aITEM 996371423 -361800911:Damaged Channeling Stick\/a,,,,,,,,,1,,,,,,,,,,,4,4,
462295507,Gruedheim Beater,Primary|Secondary,TREASURED,20,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,6,17,1.6,14.506667,\aITEM 462295507 -189350648:Gruedheim Beater\/a,,,,,,,,,3,,,,,,,,,,,9,9,
482092804,Gruedheim Smasher,Primary|Secondary,TREASURED,20,,beastlord|berserker|bruiser|channeler|defiler|fury|guardian|inquisitor|monk|mystic|paladin|shadowknight|templar|warden,15,44,4,14.506667,\aITEM 482092804 223483124:Gruedheim Smasher\/a,,,,,,,,,3,,,,,,,,,,,9,9,
3061372491,Runic Blade of the Rain,Primary|Secondary,TREASURED,20,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,13,73,6,14.400001,\aITEM -1233594805 -421035154:Runic Blade of the Rain\/a,,,,,,,,,3,,,,,,,,,,,7,7,
4120000262,Knuckles of Vigor,Primary|Secondary,TREASURED,20,,beastlord|bruiser|monk,13,73,6,14.400001,\aITEM -174967034 2124218018:Knuckles of Vigor\/a,,,,,,,,,3,,,,,,,,,,,7,7,
